          GAMMA Circulations
-------------------------------------------------------
TIME STEP =        0
----------------------------------------------------
PANEL         L1           L2            L3           L4
  8     0.0989898    -0.0000000    -0.0002343     0.0350728
  9     0.7810537    -0.1186902     0.2884724    -0.0000000
 10     0.2884724    -0.1128956     0.1701143     0.0000000
 11     0.1701143    -0.0731261     0.0989898     0.0000000
 12     0.0989898    -0.0350728    -0.0002343    -0.0000000
 13     0.6623635    -0.0000787     0.2942670    -0.1186902
 14     0.2942670    -0.0001388     0.2098838    -0.1128956
 15     0.2098838    -0.0001970     0.1370431    -0.0731261
 16     0.1370431    -0.0002514    -0.0002514    -0.0350728
TIME STEP =       29
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6624337     0.1186999     0.2943199     0.0000701
  2     0.2943199     0.1128980     0.2099345     0.0001230
  3     0.2099345     0.0731191     0.1370899     0.0001737
  4     0.1370899     0.0350579    -0.0002205     0.0002205
  5     0.7811336    -0.0000000     0.2885180     0.1186999
  6     0.2885180     0.0000000     0.1701556     0.1128980
  7     0.1701556    -0.0000000     0.0990287     0.0731191
  8     0.0990287     0.0000000    -0.0002055     0.0350579
  9     0.7811336    -0.1186999     0.2885180    -0.0000000
 10     0.2885180    -0.1128980     0.1701556     0.0000000
 11     0.1701556    -0.0731191     0.0990287    -0.0000000
 12     0.0990287    -0.0350579    -0.0002055     0.0000000
 13     0.6624337    -0.0000701     0.2943199    -0.1186999
 14     0.2943199    -0.0001230     0.2099345    -0.1128980
 15     0.2099345    -0.0001737     0.1370899    -0.0731191
 16     0.1370899    -0.0002205    -0.0002205    -0.0350579
TIME STEP =       30
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6624964     0.1187086     0.2943668     0.0000627
  2     0.2943668     0.1129001     0.2099788     0.0001096
  3     0.2099788     0.0731130     0.1371304     0.0001540
  4     0.1371304     0.0350448    -0.0001945     0.0001945
  5     0.7812050    -0.0000000     0.2885583     0.1187086
  6     0.2885583     0.0000000     0.1701917     0.1129001
  7     0.1701917    -0.0000000     0.0990622     0.0731130
  8     0.0990622     0.0000000    -0.0001814     0.0350448
  9     0.7812050    -0.1187086     0.2885583    -0.0000000
 10     0.2885583    -0.1129001     0.1701917     0.0000000
 11     0.1701917    -0.0731130     0.0990622    -0.0000000
 12     0.0990622    -0.0350448    -0.0001814     0.0000000
 13     0.6624964    -0.0000627     0.2943668    -0.1187086
 14     0.2943668    -0.0001096     0.2099788    -0.1129001
 15     0.2099788    -0.0001540     0.1371304    -0.0731130
 16     0.1371304    -0.0001945    -0.0001945    -0.0350448
TIME STEP =       31
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6625527     0.1187163     0.2944085     0.0000563
  2     0.2944085     0.1129019     0.2100180     0.0000980
  3     0.2100180     0.0731074     0.1371657     0.0001372
  4     0.1371657     0.0350332    -0.0001724     0.0001724
  5     0.7812691    -0.0000000     0.2885940     0.1187163
  6     0.2885940     0.0000000     0.1702235     0.1129019
  7     0.1702235     0.0000000     0.0990915     0.0731074
  8     0.0990915    -0.0000000    -0.0001608     0.0350332
  9     0.7812691    -0.1187163     0.2885940    -0.0000000
 10     0.2885940    -0.1129019     0.1702235     0.0000000
 11     0.1702235    -0.0731074     0.0990915     0.0000000
 12     0.0990915    -0.0350332    -0.0001608    -0.0000000
 13     0.6625527    -0.0000563     0.2944085    -0.1187163
 14     0.2944085    -0.0000980     0.2100180    -0.1129019
 15     0.2100180    -0.0001372     0.1371657    -0.0731074
 16     0.1371657    -0.0001724    -0.0001724    -0.0350332
TIME STEP =       32
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6626033     0.1187232     0.2944457     0.0000506
  2     0.2944457     0.1129034     0.2100526     0.0000878
  3     0.2100526     0.0731024     0.1371966     0.0001224
  4     0.1371966     0.0350228    -0.0001534     0.0001534
  5     0.7813265    -0.0000000     0.2886259     0.1187232
  6     0.2886259     0.0000000     0.1702516     0.1129034
  7     0.1702516     0.0000000     0.0991171     0.0731024
  8     0.0991171    -0.0000000    -0.0001430     0.0350228
  9     0.7813265    -0.1187232     0.2886259    -0.0000000
 10     0.2886259    -0.1129034     0.1702516     0.0000000
 11     0.1702516    -0.0731024     0.0991171     0.0000000
 12     0.0991171    -0.0350228    -0.0001430    -0.0000000
 13     0.6626033    -0.0000506     0.2944457    -0.1187232
 14     0.2944457    -0.0000878     0.2100526    -0.1129034
 15     0.2100526    -0.0001224     0.1371966    -0.0731024
 16     0.1371966    -0.0001534    -0.0001534    -0.0350228
TIME STEP =       33
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6626489     0.1187294     0.2944791     0.0000457
  2     0.2944791     0.1129047     0.2100834     0.0000790
  3     0.2100834     0.0730978     0.1372239     0.0001098
  4     0.1372239     0.0350135    -0.0001371     0.0001371
  5     0.7813783    -0.0000000     0.2886544     0.1187294
  6     0.2886544    -0.0000000     0.1702765     0.1129047
  7     0.1702765     0.0000000     0.0991396     0.0730978
  8     0.0991396     0.0000000    -0.0001278     0.0350135
  9     0.7813783    -0.1187294     0.2886544    -0.0000000
 10     0.2886544    -0.1129047     0.1702765    -0.0000000
 11     0.1702765    -0.0730978     0.0991396     0.0000000
 12     0.0991396    -0.0350135    -0.0001278     0.0000000
 13     0.6626489    -0.0000457     0.2944791    -0.1187294
 14     0.2944791    -0.0000790     0.2100834    -0.1129047
 15     0.2100834    -0.0001098     0.1372239    -0.0730978
 16     0.1372239    -0.0001371    -0.0001371    -0.0350135
TIME STEP =       34
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6626903     0.1187350     0.2945091     0.0000414
  2     0.2945091     0.1129060     0.2101109     0.0000714
  3     0.2101109     0.0730938     0.1372480     0.0000989
  4     0.1372480     0.0350052    -0.0001230     0.0001230
  5     0.7814254    -0.0000000     0.2886801     0.1187350
  6     0.2886801     0.0000000     0.1702988     0.1129060
  7     0.1702988     0.0000000     0.0991594     0.0730938
  8     0.0991594    -0.0000000    -0.0001147     0.0350052
  9     0.7814254    -0.1187350     0.2886801    -0.0000000
 10     0.2886801    -0.1129060     0.1702988     0.0000000
 11     0.1702988    -0.0730938     0.0991594     0.0000000
 12     0.0991594    -0.0350052    -0.0001147    -0.0000000
 13     0.6626903    -0.0000414     0.2945091    -0.1187350
 14     0.2945091    -0.0000714     0.2101109    -0.1129060
 15     0.2101109    -0.0000989     0.1372480    -0.0730938
 16     0.1372480    -0.0001230    -0.0001230    -0.0350052
TIME STEP =       35
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6627280     0.1187401     0.2945362     0.0000377
  2     0.2945362     0.1129070     0.2101356     0.0000648
  3     0.2101356     0.0730901     0.1372694     0.0000894
  4     0.1372694     0.0349978    -0.0001109     0.0001109
  5     0.7814681    -0.0000000     0.2887032     0.1187401
  6     0.2887032     0.0000000     0.1703187     0.1129070
  7     0.1703187     0.0000000     0.0991770     0.0730901
  8     0.0991770    -0.0000000    -0.0001034     0.0349978
  9     0.7814681    -0.1187401     0.2887032    -0.0000000
 10     0.2887032    -0.1129070     0.1703187     0.0000000
 11     0.1703187    -0.0730901     0.0991770     0.0000000
 12     0.0991770    -0.0349978    -0.0001034    -0.0000000
 13     0.6627280    -0.0000377     0.2945362    -0.1187401
 14     0.2945362    -0.0000648     0.2101356    -0.1129070
 15     0.2101356    -0.0000894     0.1372694    -0.0730901
 16     0.1372694    -0.0001109    -0.0001109    -0.0349978
TIME STEP =       36
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6627625     0.1187447     0.2945608     0.0000345
  2     0.2945608     0.1129080     0.2101578     0.0000591
  3     0.2101578     0.0730868     0.1372885     0.0000813
  4     0.1372885     0.0349911    -0.0001003     0.0001003
  5     0.7815072     0.0000000     0.2887242     0.1187447
  6     0.2887242     0.0000000     0.1703366     0.1129080
  7     0.1703366    -0.0000000     0.0991927     0.0730868
  8     0.0991927    -0.0000000    -0.0000936     0.0349911
  9     0.7815072    -0.1187447     0.2887242     0.0000000
 10     0.2887242    -0.1129080     0.1703366     0.0000000
 11     0.1703366    -0.0730868     0.0991927    -0.0000000
 12     0.0991927    -0.0349911    -0.0000936    -0.0000000
 13     0.6627625    -0.0000345     0.2945608    -0.1187447
 14     0.2945608    -0.0000591     0.2101578    -0.1129080
 15     0.2101578    -0.0000813     0.1372885    -0.0730868
 16     0.1372885    -0.0001003    -0.0001003    -0.0349911
TIME STEP =       37
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6627939     0.1187489     0.2945832     0.0000314
  2     0.2945832     0.1129089     0.2101778     0.0000538
  3     0.2101778     0.0730838     0.1373056     0.0000739
  4     0.1373056     0.0349849    -0.0000910     0.0000910
  5     0.7815428     0.0000000     0.2887432     0.1187489
  6     0.2887432     0.0000000     0.1703527     0.1129089
  7     0.1703527     0.0000000     0.0992068     0.0730838
  8     0.0992068     0.0000000    -0.0000849     0.0349849
  9     0.7815428    -0.1187489     0.2887432     0.0000000
 10     0.2887432    -0.1129089     0.1703527     0.0000000
 11     0.1703527    -0.0730838     0.0992068     0.0000000
 12     0.0992068    -0.0349849    -0.0000849     0.0000000
 13     0.6627939    -0.0000314     0.2945832    -0.1187489
 14     0.2945832    -0.0000538     0.2101778    -0.1129089
 15     0.2101778    -0.0000739     0.1373056    -0.0730838
 16     0.1373056    -0.0000910    -0.0000910    -0.0349849
TIME STEP =       38
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6628227     0.1187527     0.2946036     0.0000288
  2     0.2946036     0.1129097     0.2101960     0.0000492
  3     0.2101960     0.0730810     0.1373210     0.0000674
  4     0.1373210     0.0349794    -0.0000828     0.0000828
  5     0.7815754    -0.0000000     0.2887606     0.1187527
  6     0.2887606     0.0000000     0.1703674     0.1129097
  7     0.1703674     0.0000000     0.0992194     0.0730810
  8     0.0992194     0.0000000    -0.0000773     0.0349794
  9     0.7815754    -0.1187527     0.2887606    -0.0000000
 10     0.2887606    -0.1129097     0.1703674     0.0000000
 11     0.1703674    -0.0730810     0.0992194     0.0000000
 12     0.0992194    -0.0349794    -0.0000773     0.0000000
 13     0.6628227    -0.0000288     0.2946036    -0.1187527
 14     0.2946036    -0.0000492     0.2101960    -0.1129097
 15     0.2101960    -0.0000674     0.1373210    -0.0730810
 16     0.1373210    -0.0000828    -0.0000828    -0.0349794
TIME STEP =       39
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6628493     0.1187562     0.2946222     0.0000265
  2     0.2946222     0.1129104     0.2102125     0.0000452
  3     0.2102125     0.0730785     0.1373349     0.0000617
  4     0.1373349     0.0349743    -0.0000756     0.0000756
  5     0.7816055    -0.0000000     0.2887764     0.1187562
  6     0.2887764     0.0000000     0.1703806     0.1129104
  7     0.1703806    -0.0000000     0.0992308     0.0730785
  8     0.0992308     0.0000000    -0.0000706     0.0349743
  9     0.7816055    -0.1187562     0.2887764    -0.0000000
 10     0.2887764    -0.1129104     0.1703806     0.0000000
 11     0.1703806    -0.0730785     0.0992308    -0.0000000
 12     0.0992308    -0.0349743    -0.0000706     0.0000000
 13     0.6628493    -0.0000265     0.2946222    -0.1187562
 14     0.2946222    -0.0000452     0.2102125    -0.1129104
 15     0.2102125    -0.0000617     0.1373349    -0.0730785
 16     0.1373349    -0.0000756    -0.0000756    -0.0349743
TIME STEP =       40
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6628736     0.1187594     0.2946393     0.0000244
  2     0.2946393     0.1129110     0.2102276     0.0000415
  3     0.2102276     0.0730761     0.1373475     0.0000565
  4     0.1373475     0.0349697    -0.0000691     0.0000691
  5     0.7816330    -0.0000000     0.2887909     0.1187594
  6     0.2887909    -0.0000000     0.1703927     0.1129110
  7     0.1703927     0.0000000     0.0992411     0.0730761
  8     0.0992411    -0.0000000    -0.0000645     0.0349697
  9     0.7816330    -0.1187594     0.2887909    -0.0000000
 10     0.2887909    -0.1129110     0.1703927    -0.0000000
 11     0.1703927    -0.0730761     0.0992411     0.0000000
 12     0.0992411    -0.0349697    -0.0000645    -0.0000000
 13     0.6628736    -0.0000244     0.2946393    -0.1187594
 14     0.2946393    -0.0000415     0.2102276    -0.1129110
 15     0.2102276    -0.0000565     0.1373475    -0.0730761
 16     0.1373475    -0.0000691    -0.0000691    -0.0349697
TIME STEP =       41
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6628961     0.1187623     0.2946550     0.0000224
  2     0.2946550     0.1129115     0.2102414     0.0000381
  3     0.2102414     0.0730739     0.1373590     0.0000518
  4     0.1373590     0.0349654    -0.0000633     0.0000633
  5     0.7816584     0.0000000     0.2888042     0.1187623
  6     0.2888042     0.0000000     0.1704038     0.1129115
  7     0.1704038     0.0000000     0.0992505     0.0730739
  8     0.0992505    -0.0000000    -0.0000590     0.0349654
  9     0.7816584    -0.1187623     0.2888042     0.0000000
 10     0.2888042    -0.1129115     0.1704038     0.0000000
 11     0.1704038    -0.0730739     0.0992505     0.0000000
 12     0.0992505    -0.0349654    -0.0000590    -0.0000000
 13     0.6628961    -0.0000224     0.2946550    -0.1187623
 14     0.2946550    -0.0000381     0.2102414    -0.1129115
 15     0.2102414    -0.0000518     0.1373590    -0.0730739
 16     0.1373590    -0.0000633    -0.0000633    -0.0349654
TIME STEP =       42
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6629169     0.1187651     0.2946694     0.0000208
  2     0.2946694     0.1129121     0.2102540     0.0000353
  3     0.2102540     0.0730719     0.1373694     0.0000479
  4     0.1373694     0.0349616    -0.0000582     0.0000582
  5     0.7816819    -0.0000000     0.2888164     0.1187651
  6     0.2888164     0.0000000     0.1704139     0.1129121
  7     0.1704139     0.0000000     0.0992590     0.0730719
  8     0.0992590     0.0000000    -0.0000544     0.0349616
  9     0.7816819    -0.1187651     0.2888164    -0.0000000
 10     0.2888164    -0.1129121     0.1704139     0.0000000
 11     0.1704139    -0.0730719     0.0992590     0.0000000
 12     0.0992590    -0.0349616    -0.0000544     0.0000000
 13     0.6629169    -0.0000208     0.2946694    -0.1187651
 14     0.2946694    -0.0000353     0.2102540    -0.1129121
 15     0.2102540    -0.0000479     0.1373694    -0.0730719
 16     0.1373694    -0.0000582    -0.0000582    -0.0349616
TIME STEP =       43
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6629363     0.1187676     0.2946828     0.0000195
  2     0.2946828     0.1129126     0.2102655     0.0000328
  3     0.2102655     0.0730701     0.1373788     0.0000444
  4     0.1373788     0.0349580    -0.0000539     0.0000539
  5     0.7817039     0.0000000     0.2888278     0.1187676
  6     0.2888278     0.0000000     0.1704231     0.1129126
  7     0.1704231     0.0000000     0.0992667     0.0730701
  8     0.0992667     0.0000000    -0.0000503     0.0349580
  9     0.7817039    -0.1187676     0.2888278     0.0000000
 10     0.2888278    -0.1129126     0.1704231     0.0000000
 11     0.1704231    -0.0730701     0.0992667     0.0000000
 12     0.0992667    -0.0349580    -0.0000503     0.0000000
 13     0.6629363    -0.0000195     0.2946828    -0.1187676
 14     0.2946828    -0.0000328     0.2102655    -0.1129126
 15     0.2102655    -0.0000444     0.1373788    -0.0730701
 16     0.1373788    -0.0000539    -0.0000539    -0.0349580
TIME STEP =       44
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6629544     0.1187699     0.2946952     0.0000181
  2     0.2946952     0.1129130     0.2102762     0.0000305
  3     0.2102762     0.0730684     0.1373875     0.0000412
  4     0.1373875     0.0349547    -0.0000499     0.0000499
  5     0.7817244     0.0000000     0.2888383     0.1187699
  6     0.2888383     0.0000000     0.1704317     0.1129130
  7     0.1704317     0.0000000     0.0992738     0.0730684
  8     0.0992738     0.0000000    -0.0000466     0.0349547
  9     0.7817244    -0.1187699     0.2888383     0.0000000
 10     0.2888383    -0.1129130     0.1704317     0.0000000
 11     0.1704317    -0.0730684     0.0992738     0.0000000
 12     0.0992738    -0.0349547    -0.0000466     0.0000000
 13     0.6629544    -0.0000181     0.2946952    -0.1187699
 14     0.2946952    -0.0000305     0.2102762    -0.1129130
 15     0.2102762    -0.0000412     0.1373875    -0.0730684
 16     0.1373875    -0.0000499    -0.0000499    -0.0349547
TIME STEP =       45
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6629713     0.1187721     0.2947068     0.0000168
  2     0.2947068     0.1129133     0.2102861     0.0000284
  3     0.2102861     0.0730668     0.1373955     0.0000383
  4     0.1373955     0.0349516    -0.0000463     0.0000463
  5     0.7817434     0.0000000     0.2888480     0.1187721
  6     0.2888480     0.0000000     0.1704396     0.1129133
  7     0.1704396     0.0000000     0.0992803     0.0730668
  8     0.0992803     0.0000000    -0.0000432     0.0349516
  9     0.7817434    -0.1187721     0.2888480     0.0000000
 10     0.2888480    -0.1129133     0.1704396     0.0000000
 11     0.1704396    -0.0730668     0.0992803     0.0000000
 12     0.0992803    -0.0349516    -0.0000432     0.0000000
 13     0.6629713    -0.0000168     0.2947068    -0.1187721
 14     0.2947068    -0.0000284     0.2102861    -0.1129133
 15     0.2102861    -0.0000383     0.1373955    -0.0730668
 16     0.1373955    -0.0000463    -0.0000463    -0.0349516
TIME STEP =       46
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6629870     0.1187741     0.2947175     0.0000157
  2     0.2947175     0.1129137     0.2102953     0.0000264
  3     0.2102953     0.0730653     0.1374029     0.0000356
  4     0.1374029     0.0349487    -0.0000430     0.0000430
  5     0.7817611    -0.0000000     0.2888571     0.1187741
  6     0.2888571     0.0000000     0.1704469     0.1129137
  7     0.1704469    -0.0000000     0.0992863     0.0730653
  8     0.0992863    -0.0000000    -0.0000401     0.0349487
  9     0.7817611    -0.1187741     0.2888571    -0.0000000
 10     0.2888571    -0.1129137     0.1704469     0.0000000
 11     0.1704469    -0.0730653     0.0992863    -0.0000000
 12     0.0992863    -0.0349487    -0.0000401    -0.0000000
 13     0.6629870    -0.0000157     0.2947175    -0.1187741
 14     0.2947175    -0.0000264     0.2102953    -0.1129137
 15     0.2102953    -0.0000356     0.1374029    -0.0730653
 16     0.1374029    -0.0000430    -0.0000430    -0.0349487
TIME STEP =       47
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630016     0.1187760     0.2947275     0.0000146
  2     0.2947275     0.1129140     0.2103038     0.0000246
  3     0.2103038     0.0730639     0.1374097     0.0000331
  4     0.1374097     0.0349461    -0.0000399     0.0000399
  5     0.7817776     0.0000000     0.2888655     0.1187760
  6     0.2888655     0.0000000     0.1704537     0.1129140
  7     0.1704537    -0.0000000     0.0992918     0.0730639
  8     0.0992918     0.0000000    -0.0000372     0.0349461
  9     0.7817776    -0.1187760     0.2888655     0.0000000
 10     0.2888655    -0.1129140     0.1704537     0.0000000
 11     0.1704537    -0.0730639     0.0992918    -0.0000000
 12     0.0992918    -0.0349461    -0.0000372     0.0000000
 13     0.6630016    -0.0000146     0.2947275    -0.1187760
 14     0.2947275    -0.0000246     0.2103038    -0.1129140
 15     0.2103038    -0.0000331     0.1374097    -0.0730639
 16     0.1374097    -0.0000399    -0.0000399    -0.0349461
TIME STEP =       48
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630152     0.1187778     0.2947368     0.0000136
  2     0.2947368     0.1129143     0.2103117     0.0000229
  3     0.2103117     0.0730626     0.1374160     0.0000307
  4     0.1374160     0.0349436    -0.0000371     0.0000371
  5     0.7817929    -0.0000000     0.2888733     0.1187778
  6     0.2888733     0.0000000     0.1704600     0.1129143
  7     0.1704600     0.0000000     0.0992970     0.0730626
  8     0.0992970     0.0000000    -0.0000346     0.0349436
  9     0.7817929    -0.1187778     0.2888733    -0.0000000
 10     0.2888733    -0.1129143     0.1704600     0.0000000
 11     0.1704600    -0.0730626     0.0992970     0.0000000
 12     0.0992970    -0.0349436    -0.0000346     0.0000000
 13     0.6630152    -0.0000136     0.2947368    -0.1187778
 14     0.2947368    -0.0000229     0.2103117    -0.1129143
 15     0.2103117    -0.0000307     0.1374160    -0.0730626
 16     0.1374160    -0.0000371    -0.0000371    -0.0349436
TIME STEP =       49
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630278     0.1187794     0.2947454     0.0000126
  2     0.2947454     0.1129146     0.2103190     0.0000212
  3     0.2103190     0.0730614     0.1374219     0.0000286
  4     0.1374219     0.0349412    -0.0000344     0.0000344
  5     0.7818072    -0.0000000     0.2888805     0.1187794
  6     0.2888805     0.0000000     0.1704658     0.1129146
  7     0.1704658     0.0000000     0.0993017     0.0730614
  8     0.0993017     0.0000000    -0.0000321     0.0349412
  9     0.7818072    -0.1187794     0.2888805    -0.0000000
 10     0.2888805    -0.1129146     0.1704658     0.0000000
 11     0.1704658    -0.0730614     0.0993017     0.0000000
 12     0.0993017    -0.0349412    -0.0000321     0.0000000
 13     0.6630278    -0.0000126     0.2947454    -0.1187794
 14     0.2947454    -0.0000212     0.2103190    -0.1129146
 15     0.2103190    -0.0000286     0.1374219    -0.0730614
 16     0.1374219    -0.0000344    -0.0000344    -0.0349412
TIME STEP =       50
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630396     0.1187809     0.2947533     0.0000118
  2     0.2947533     0.1129148     0.2103258     0.0000197
  3     0.2103258     0.0730602     0.1374273     0.0000265
  4     0.1374273     0.0349391    -0.0000320     0.0000320
  5     0.7818205     0.0000000     0.2888873     0.1187809
  6     0.2888873     0.0000000     0.1704712     0.1129148
  7     0.1704712    -0.0000000     0.0993061     0.0730602
  8     0.0993061     0.0000000    -0.0000298     0.0349391
  9     0.7818205    -0.1187809     0.2888873     0.0000000
 10     0.2888873    -0.1129148     0.1704712     0.0000000
 11     0.1704712    -0.0730602     0.0993061    -0.0000000
 12     0.0993061    -0.0349391    -0.0000298     0.0000000
 13     0.6630396    -0.0000118     0.2947533    -0.1187809
 14     0.2947533    -0.0000197     0.2103258    -0.1129148
 15     0.2103258    -0.0000265     0.1374273    -0.0730602
 16     0.1374273    -0.0000320    -0.0000320    -0.0349391
TIME STEP =       51
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630506     0.1187823     0.2947608     0.0000110
  2     0.2947608     0.1129151     0.2103321     0.0000185
  3     0.2103321     0.0730592     0.1374323     0.0000248
  4     0.1374323     0.0349371    -0.0000298     0.0000298
  5     0.7818329    -0.0000000     0.2888935     0.1187823
  6     0.2888935     0.0000000     0.1704762     0.1129151
  7     0.1704762     0.0000000     0.0993102     0.0730592
  8     0.0993102     0.0000000    -0.0000278     0.0349371
  9     0.7818329    -0.1187823     0.2888935    -0.0000000
 10     0.2888935    -0.1129151     0.1704762     0.0000000
 11     0.1704762    -0.0730592     0.0993102     0.0000000
 12     0.0993102    -0.0349371    -0.0000278     0.0000000
 13     0.6630506    -0.0000110     0.2947608    -0.1187823
 14     0.2947608    -0.0000185     0.2103321    -0.1129151
 15     0.2103321    -0.0000248     0.1374323    -0.0730592
 16     0.1374323    -0.0000298    -0.0000298    -0.0349371
TIME STEP =       52
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630610     0.1187836     0.2947677     0.0000104
  2     0.2947677     0.1129153     0.2103380     0.0000174
  3     0.2103380     0.0730582     0.1374369     0.0000232
  4     0.1374369     0.0349352    -0.0000278     0.0000278
  5     0.7818446    -0.0000000     0.2888994     0.1187836
  6     0.2888994     0.0000000     0.1704809     0.1129153
  7     0.1704809    -0.0000000     0.0993140     0.0730582
  8     0.0993140    -0.0000000    -0.0000260     0.0349352
  9     0.7818446    -0.1187836     0.2888994    -0.0000000
 10     0.2888994    -0.1129153     0.1704809     0.0000000
 11     0.1704809    -0.0730582     0.0993140    -0.0000000
 12     0.0993140    -0.0349352    -0.0000260    -0.0000000
 13     0.6630610    -0.0000104     0.2947677    -0.1187836
 14     0.2947677    -0.0000174     0.2103380    -0.1129153
 15     0.2103380    -0.0000232     0.1374369    -0.0730582
 16     0.1374369    -0.0000278    -0.0000278    -0.0349352
TIME STEP =       53
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630708     0.1187849     0.2947743     0.0000098
  2     0.2947743     0.1129155     0.2103435     0.0000163
  3     0.2103435     0.0730573     0.1374412     0.0000218
  4     0.1374412     0.0349335    -0.0000261     0.0000261
  5     0.7818556    -0.0000000     0.2889049     0.1187849
  6     0.2889049     0.0000000     0.1704853     0.1129155
  7     0.1704853     0.0000000     0.0993174     0.0730573
  8     0.0993174    -0.0000000    -0.0000243     0.0349335
  9     0.7818556    -0.1187849     0.2889049    -0.0000000
 10     0.2889049    -0.1129155     0.1704853     0.0000000
 11     0.1704853    -0.0730573     0.0993174     0.0000000
 12     0.0993174    -0.0349335    -0.0000243    -0.0000000
 13     0.6630708    -0.0000098     0.2947743    -0.1187849
 14     0.2947743    -0.0000163     0.2103435    -0.1129155
 15     0.2103435    -0.0000218     0.1374412    -0.0730573
 16     0.1374412    -0.0000261    -0.0000261    -0.0349335
TIME STEP =       54
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630800     0.1187860     0.2947804     0.0000092
  2     0.2947804     0.1129157     0.2103486     0.0000154
  3     0.2103486     0.0730564     0.1374452     0.0000205
  4     0.1374452     0.0349319    -0.0000245     0.0000245
  5     0.7818660     0.0000000     0.2889101     0.1187860
  6     0.2889101     0.0000000     0.1704893     0.1129157
  7     0.1704893     0.0000000     0.0993207     0.0730564
  8     0.0993207     0.0000000    -0.0000229     0.0349319
  9     0.7818660    -0.1187860     0.2889101     0.0000000
 10     0.2889101    -0.1129157     0.1704893     0.0000000
 11     0.1704893    -0.0730564     0.0993207     0.0000000
 12     0.0993207    -0.0349319    -0.0000229     0.0000000
 13     0.6630800    -0.0000092     0.2947804    -0.1187860
 14     0.2947804    -0.0000154     0.2103486    -0.1129157
 15     0.2103486    -0.0000205     0.1374452    -0.0730564
 16     0.1374452    -0.0000245    -0.0000245    -0.0349319
TIME STEP =       55
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630887     0.1187871     0.2947862     0.0000087
  2     0.2947862     0.1129159     0.2103534     0.0000145
  3     0.2103534     0.0730556     0.1374489     0.0000194
  4     0.1374489     0.0349304    -0.0000231     0.0000231
  5     0.7818759    -0.0000000     0.2889150     0.1187871
  6     0.2889150     0.0000000     0.1704932     0.1129159
  7     0.1704932    -0.0000000     0.0993237     0.0730556
  8     0.0993237     0.0000000    -0.0000215     0.0349304
  9     0.7818759    -0.1187871     0.2889150    -0.0000000
 10     0.2889150    -0.1129159     0.1704932     0.0000000
 11     0.1704932    -0.0730556     0.0993237    -0.0000000
 12     0.0993237    -0.0349304    -0.0000215     0.0000000
 13     0.6630887    -0.0000087     0.2947862    -0.1187871
 14     0.2947862    -0.0000145     0.2103534    -0.1129159
 15     0.2103534    -0.0000194     0.1374489    -0.0730556
 16     0.1374489    -0.0000231    -0.0000231    -0.0349304
TIME STEP =       56
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6630970     0.1187882     0.2947917     0.0000083
  2     0.2947917     0.1129160     0.2103579     0.0000138
  3     0.2103579     0.0730548     0.1374524     0.0000183
  4     0.1374524     0.0349289    -0.0000218     0.0000218
  5     0.7818852    -0.0000000     0.2889196     0.1187882
  6     0.2889196     0.0000000     0.1704968     0.1129160
  7     0.1704968     0.0000000     0.0993265     0.0730548
  8     0.0993265     0.0000000    -0.0000203     0.0349289
  9     0.7818852    -0.1187882     0.2889196    -0.0000000
 10     0.2889196    -0.1129160     0.1704968     0.0000000
 11     0.1704968    -0.0730548     0.0993265     0.0000000
 12     0.0993265    -0.0349289    -0.0000203     0.0000000
 13     0.6630970    -0.0000083     0.2947917    -0.1187882
 14     0.2947917    -0.0000138     0.2103579    -0.1129160
 15     0.2103579    -0.0000183     0.1374524    -0.0730548
 16     0.1374524    -0.0000218    -0.0000218    -0.0349289
TIME STEP =       57
----------------------------------------------------
